Company,Fortress_Score
ExpressVPN,55.55555555555556
NordVPN,50.0
Youtube Premium,34.34343434343434
Microsoft,32.758620689655174
Apple Music,12.5
Adobe,5.714285714285714
Amazon Prime,2.941176470588235
Disney+,2.0408163265306123
Netflix,2.032520325203252
Spotify,0.4329004329004329
