Year,Service,Country,Original_Price,Currency,Price_USD,Monthly_Salary_USD,DSPI,Real_Diff_USD,Affordability_Wage_Based_%,Conversion_Date,Conversion_Source
2024,Amazon Prime,United Kingdom,8.99,GBP,11.42,5715.0,0.76,-3.57,0.19982502187226597,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Spotify,United Kingdom,12.99,GBP,16.5,5715.0,1.38,4.51,0.2887139107611548,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Apple Music,United Kingdom,16.99,GBP,21.58,5715.0,1.96,10.59,0.37760279965004373,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Microsoft 365,United Kingdom,84.99,GBP,107.94,5715.0,1.08,7.95,1.8887139107611548,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Adobe Creative Cloud,United Kingdom,24.98,GBP,31.72,5715.0,0.91,-3.25,0.5550306211723535,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Xbox Game Pass,United Kingdom,6.99,GBP,8.88,5715.0,0.89,-1.11,0.15538057742782155,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,NordVPN,United Kingdom,73.58,GBP,93.45,5715.0,0.97,-2.62,1.6351706036745406,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,ExpressVPN,United Kingdom,83.66,GBP,106.25,5715.0,1.0,-0.15,1.859142607174103,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Netflix,Poland,49.0,PLN,12.25,,0.68,-5.74,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Youtube Premium,Poland,29.99,PLN,7.5,,0.54,-6.49,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Disney+,Poland,34.99,PLN,8.75,,0.67,-4.24,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Amazon Prime,Poland,10.99,PLN,2.75,,0.18,-12.24,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Spotify,Poland,23.99,PLN,6.0,,0.5,-5.99,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Apple Music,Poland,21.99,PLN,5.5,,0.5,-5.49,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Microsoft 365,Poland,429.99,PLN,107.5,,1.08,7.51,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Adobe Creative Cloud,Poland,45.13,EUR,49.19,,1.41,14.22,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Xbox Game Pass,Poland,36.99,PLN,9.25,,0.93,-0.74,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,NordVPN,Poland,328.45,PLN,82.11,,0.85,-13.96,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,ExpressVPN,Poland,120.2,USD,120.2,,1.13,13.8,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Netflix,Turkey,289.99,TRY,9.28,761.25,0.52,-8.71,1.219047619047619,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Youtube Premium,Turkey,29.99,TRY,0.96,761.25,0.07,-13.03,0.12610837438423644,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Disney+,Turkey,449.9,TRY,14.4,761.25,1.11,1.41,1.891625615763547,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Amazon Prime,Turkey,69.9,TRY,2.24,761.25,0.15,-12.75,0.29425287356321844,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Spotify,Turkey,99.0,TRY,3.17,761.25,0.26,-8.82,0.4164203612479474,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Apple Music,Turkey,59.99,TRY,1.92,761.25,0.17,-9.07,0.2522167487684729,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Microsoft 365,Turkey,3299.99,TRY,105.6,761.25,1.06,5.61,13.871921182266009,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Adobe Creative Cloud,Turkey,269.0,TRY,8.61,761.25,0.25,-26.36,1.1310344827586205,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Xbox Game Pass,Turkey,96.88,USD,96.88,761.25,9.7,86.89,12.726436781609197,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,NordVPN,Turkey,96.88,USD,96.88,761.25,1.01,0.81,12.726436781609197,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,ExpressVPN,Turkey,117.26,USD,117.26,761.25,1.1,10.86,15.40361247947455,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Netflix,Argentina,14999.0,ARS,18.0,548.18,1.0,0.01,3.283592980407896,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Youtube Premium,Argentina,4181.0,ARS,5.02,548.18,0.36,-8.97,0.915757597869313,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Disney+,Argentina,12299.0,ARS,14.76,548.18,1.14,1.77,2.692546243934474,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Amazon Prime,Argentina,7954.0,ARS,9.54,548.18,0.64,-5.45,1.7403042796161845,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Spotify,Argentina,3299.0,ARS,3.96,548.18,0.33,-8.03,0.722390455689737,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Apple Music,Argentina,5.978,ARS,0.01,548.18,0.0,-10.98,0.001824218322448831,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Microsoft 365,Argentina,37199.0,ARS,44.64,548.18,0.45,-55.35,8.143310591411582,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Adobe Creative Cloud,Argentina,29500.24,ARS,35.4,548.18,1.01,0.43,6.457732861468861,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Xbox Game Pass,Argentina,8999.0,ARS,10.8,548.18,1.08,0.81,1.9701557882447374,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,NordVPN,Argentina,213.3,USD,213.3,548.18,2.22,117.23,38.910576817833565,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,ExpressVPN,Argentina,97.72,USD,97.72,548.18,0.92,-8.68,17.826261446969973,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Netflix,Brazil,44.9,USD,44.9,600.0,2.5,26.91,7.483333333333333,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Youtube Premium,Brazil,24.9,BRL,4.98,600.0,0.36,-9.01,0.83,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Disney+,Brazil,46.9,USD,46.9,600.0,3.61,33.91,7.816666666666666,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Amazon Prime,Brazil,19.9,USD,19.9,600.0,1.33,4.91,3.3166666666666664,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Spotify,Brazil,23.9,USD,23.9,600.0,1.99,11.91,3.9833333333333334,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Apple Music,Brazil,21.9,USD,21.9,600.0,1.99,10.91,3.65,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Microsoft 365,Brazil,509.0,USD,509.0,600.0,5.09,409.01,84.83333333333334,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Adobe Creative Cloud,Brazil,239.86,BRL,47.97,600.0,1.37,13.0,7.994999999999999,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Xbox Game Pass,Brazil,43.9,USD,43.9,600.0,4.39,33.91,7.3166666666666655,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,NordVPN,Brazil,213.3,USD,213.3,600.0,2.22,117.23,35.550000000000004,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,ExpressVPN,Brazil,97.72,USD,97.72,600.0,0.92,-8.68,16.286666666666665,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Netflix,Egypt,170.0,EGP,3.57,,0.2,-14.42,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Netflix,Ukraine,7.49,EUR,8.16,,0.45,-9.83,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Youtube Premium,Ukraine,13.99,USD,13.99,,1.0,0.0,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Amazon Prime,Ukraine,6.99,EUR,7.62,,0.51,-7.37,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Spotify,Ukraine,4.99,USD,4.99,,0.42,-7.0,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Apple Music,Ukraine,4.99,USD,4.99,,0.45,-6.0,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Microsoft 365,Ukraine,2699.0,UAH,70.17,,0.7,-29.82,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Adobe Creative Cloud,Ukraine,49.97,UAH,1.3,,0.04,-33.67,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Xbox Game Pass,Ukraine,290.0,UAH,7.54,,0.75,-2.45,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,NordVPN,Ukraine,96.88,USD,96.88,,1.01,0.81,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,ExpressVPN,Ukraine,117.26,USD,117.26,,1.1,10.86,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Netflix,Philippines,449.0,PHP,8.08,,0.45,-9.91,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Youtube Premium,Philippines,189.0,PHP,3.4,,0.24,-10.59,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Disney+,Philippines,249.0,PHP,4.48,,0.34,-8.51,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Amazon Prime,Philippines,149.0,PHP,2.68,,0.18,-12.31,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Spotify,Philippines,169.0,PHP,3.04,,0.25,-8.95,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Apple Music,Philippines,139.0,PHP,2.5,,0.23,-8.49,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Microsoft 365,Philippines,4899.0,PHP,88.18,,0.88,-11.81,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Adobe Creative Cloud,Philippines,1714.13,PHP,30.85,,0.88,-4.12,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Xbox Game Pass,Philippines,320.0,PHP,5.76,,0.58,-4.23,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,NordVPN,Philippines,629.0,USD,629.0,,6.55,532.93,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,ExpressVPN,Philippines,97.72,USD,97.72,,0.92,-8.68,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Netflix,Pakistan,800.0,USD,800.0,,44.47,782.01,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Youtube Premium,Pakistan,0.479,USD,0.48,,0.03,-13.51,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Amazon Prime,Pakistan,299.0,INR,3.59,,0.24,-11.4,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Spotify,Pakistan,349.0,USD,349.0,,29.11,337.01,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Microsoft 365,Pakistan,22999.0,USD,22999.0,,230.01,22899.01,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Adobe Creative Cloud,Pakistan,18899.0,USD,18899.0,,540.43,18864.03,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Xbox Game Pass,Pakistan,499.0,INR,5.99,,0.6,-4.0,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,NordVPN,Pakistan,105.03,SGD,77.72,,0.81,-18.35,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,ExpressVPN,Pakistan,139.72,USD,139.72,,1.31,33.32,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
2024,Adobe Creative Cloud,Nigeria,0.7958027,USD,0.8,,0.02,-34.17,,2025-12-28 14:08:34,Manual Estimates (Dec 2024/Jan 2025)
