Year,Service,Country,Original_Price,Currency,Exchange_Rate,Price_USD,US_Baseline_Price,DSPI,Monthly_Salary_USD,Affordability_Wage_Based_%,Real_Diff_USD,Real_Diff_USD_%,Conversion_Date,Date Collected
2024,NordVPN,Germany,96.07,EUR,1.09,3.8783814814814814,3.558148148148148,1.09,5232.0,0.0007412808641975309,0.32023333333333337,0.09,2025-12-28 19:17:56,2025-12-01
2024,ExpressVPN,Germany,99.63,EUR,1.09,3.8784535714285715,3.8000000000000003,1.020645677,5232.0,0.0007412946428571428,0.07845357142857123,0.02064567669,2025-12-28 19:17:56,2025-12-01
2024,Netflix,United Kingdom,10.99,GBP,1.27,13.9573,17.99,0.7758365759,5715.0,0.002442222222,-4.0327,-0.2241634241,2025-12-28 19:17:56,2025-12-01
2024,Youtube Premium,United Kingdom,12.99,GBP,1.27,16.4973,13.99,1.179220872,5715.0,0.002886666667,2.5073,0.1792208721,2025-12-28 19:17:56,2025-12-01
2024,Disney+,United Kingdom,10.99,GBP,1.27,13.9573,12.99,1.074464973,5715.0,0.002442222222,0.9673,0.07446497306,2025-12-28 19:17:56,2025-12-01
2024,Amazon Prime,United Kingdom,8.99,GBP,1.27,11.4173,14.99,0.7616611074,5715.0,0.001997777778,-3.5727,-0.2383388926,2025-12-28 19:17:56,2025-12-01
2024,Spotify,United Kingdom,11.99,GBP,1.27,15.2273,11.99,1.27,5715.0,0.002664444444,3.2373,0.27,2025-12-28 19:17:56,2025-12-01
2024,Apple Music,United Kingdom,10.99,GBP,1.27,13.9573,10.99,1.27,5715.0,0.002442222222,2.9673,0.27,2025-12-28 19:17:56,2025-12-01
2024,Microsoft 365,United Kingdom,84.99,GBP,1.27,8.994774999999999,8.3325,1.079480948,5715.0,0.0015738888888888888,0.6622749999999993,0.07948094809,2025-12-28 19:17:56,2025-12-01
2024,Adobe Creative Cloud,United Kingdom,66.49,GBP,1.27,84.4423,69.99,1.206490927,5715.0,0.01477555556,14.4523,0.2064909273,2025-12-28 19:17:56,2025-12-01
2024,Xbox Game Pass,United Kingdom,6.99,GBP,1.27,8.8773,9.99,0.8886186186,5715.0,0.001553333333,-1.1127,-0.1113813814,2025-12-28 19:17:56,2025-12-01
2024,NordVPN,United Kingdom,73.58,GBP,1.27,3.4609851851851854,3.558148148148148,0.9726928281,5715.0,0.0006055967078189301,-0.09716296296296267,-0.02730717185,2025-12-28 19:17:56,2025-12-01
2024,ExpressVPN,United Kingdom,83.66,GBP,1.27,3.794578571428571,3.8000000000000003,0.9985733083,5715.0,0.0006639682539682539,-0.005421428571429132,-0.001426691729,2025-12-28 19:17:56,2025-12-01
2024,Netflix,Poland,49.0,PLN,0.25,12.25,17.99,0.6809338521,1675.0,0.007313432836,-5.74,-0.3190661479,2025-12-28 19:17:56,2025-12-01
2024,Youtube Premium,Poland,39.0,PLN,0.25,9.75,13.99,0.696926376,1675.0,0.005820895522,-4.24,-0.303073624,2025-12-28 19:17:56,2025-12-01
2024,Disney+,Poland,34.99,PLN,0.25,8.7475,12.99,0.6734026174,1675.0,0.00522238806,-4.2425,-0.3265973826,2025-12-28 19:17:56,2025-12-01
2024,Amazon Prime,Poland,10.99,PLN,0.25,2.7475,14.99,0.1832888592,1675.0,0.001640298507,-12.2425,-0.8167111408,2025-12-28 19:17:56,2025-12-01
2024,Spotify,Poland,23.99,PLN,0.25,5.9975,11.99,0.5002085071,1675.0,0.003580597015,-5.9925,-0.4997914929,2025-12-28 19:17:56,2025-12-01
2024,Apple Music,Poland,21.99,PLN,0.25,5.4975,10.99,0.5002274795,1675.0,0.003282089552,-5.4925,-0.4997725205,2025-12-28 19:17:56,2025-12-01
2024,Microsoft 365,Poland,429.99,PLN,0.25,8.958125,8.3325,1.075082508,1675.0,0.00534813432835821,0.6256250000000012,0.07508250825,2025-12-28 19:17:56,2025-12-01
2024,Adobe Creative Cloud,Poland,80.61,EUR,1.09,87.8649,69.99,1.255392199,1675.0,0.05245665672,17.8749,0.2553921989,2025-12-28 19:17:56,2025-12-01
2024,Xbox Game Pass,Poland,36.99,PLN,0.25,9.2475,9.99,0.9256756757,1675.0,0.005520895522,-0.7425,-0.07432432432,2025-12-28 19:17:56,2025-12-01
