Company,Fortress_Score
ExpressVPN,55.56
NordVPN,50.0
Youtube Premium,33.68
Microsoft,32.76
Apple Music,12.5
Adobe,5.48
Amazon Prime,3.88
Disney+,2.04
Netflix,2.03
Spotify,0.43
