Service,Price Discrimination Score,Enforcement Intensity
Microsoft,0.2079091675,0.008747697974
Youtube Premium,0.463706004,0.03073967339
Spotify,0.4859994896,0.0002816108139
Adobe,0.2449621699,0.001266223488
Netflix,0.3523291221,0.001740947075
Disney+,0.3244950515,0.001842468908
Amazon Prime,0.3044275922,0.002440512508
Apple Music,0.4456505615,0.007530120482
ExpressVPN,0.1122497903,0.08333333333
NordVPN,0.2305484858,0.05454545455
