Year,Service,Country,Original_Price,Currency,Exchange_Rate,Price_USD,US_Baseline_Price,DSPI,Monthly_Salary_USD,Affordability_Wage_Based_%,Real_Diff_USD,Real_Diff_USD_%,Conversion_Date,Date Collected
2024,Disney+,United Kingdom,10.99,GBP,1.27,13.9573,12.99,1.074464973,5715,0.002442222222,0.9673,7.45%,2025-12-28 19:17:56,December 2025
2024,Amazon Prime,United Kingdom,8.99,GBP,1.27,11.4173,14.99,0.7616611074,5715,0.001997777778,-3.5727,-23.83%,2025-12-28 19:17:56,December 2025
2024,Spotify,United Kingdom,11.99,GBP,1.27,15.2273,11.99,1.27,5715,0.002664444444,3.2373,27.00%,2025-12-28 19:17:56,December 2025
2024,Apple Music,United Kingdom,10.99,GBP,1.27,13.9573,10.99,1.27,5715,0.002442222222,2.9673,27.00%,2025-12-28 19:17:56,December 2025
2024,Microsoft 365,United Kingdom,84.99,GBP,1.27,107.9373,99.99,1.079480948,5715,0.01888666667,7.9473,7.95%,2025-12-28 19:17:56,December 2025
2024,Adobe Creative Cloud,United Kingdom,66.49,GBP,1.27,84.4423,69.99,1.206490927,5715,0.01477555556,14.4523,20.65%,2025-12-28 19:17:56,December 2025
2024,Xbox Game Pass,United Kingdom,6.99,GBP,1.27,8.8773,9.99,0.8886186186,5715,0.001553333333,-1.1127,-11.14%,2025-12-28 19:17:56,December 2025
2024,NordVPN,United Kingdom,73.58,GBP,1.27,93.4466,96.07,0.9726928281,5715,0.01635111111,-2.6234,-2.73%,2025-12-28 19:17:56,December 2025
2024,ExpressVPN,United Kingdom,83.66,GBP,1.27,106.2482,106.4,0.9985733083,5715,0.01859111111,-0.1518,-0.14%,2025-12-28 19:17:56,December 2025
2024,Netflix,Poland,49,PLN,0.25,12.25,17.99,0.6809338521,1675,0.007313432836,-5.74,-31.91%,2025-12-28 19:17:56,December 2025
2024,Youtube Premium,Poland,39,PLN,0.25,9.75,13.99,0.696926376,1675,0.005820895522,-4.24,-30.31%,2025-12-28 19:17:56,December 2025
2024,Disney+,Poland,34.99,PLN,0.25,8.7475,12.99,0.6734026174,1675,0.00522238806,-4.2425,-32.66%,2025-12-28 19:17:56,December 2025
2024,Amazon Prime,Poland,10.99,PLN,0.25,2.7475,14.99,0.1832888592,1675,0.001640298507,-12.2425,-81.67%,2025-12-28 19:17:56,December 2025
2024,Spotify,Poland,23.99,PLN,0.25,5.9975,11.99,0.5002085071,1675,0.003580597015,-5.9925,-49.98%,2025-12-28 19:17:56,December 2025
2024,Apple Music,Poland,21.99,PLN,0.25,5.4975,10.99,0.5002274795,1675,0.003282089552,-5.4925,-49.98%,2025-12-28 19:17:56,December 2025
2024,Microsoft 365,Poland,429.99,PLN,0.25,107.4975,99.99,1.075082508,1675,0.06417761194,7.5075,7.51%,2025-12-28 19:17:56,December 2025
2024,Adobe Creative Cloud,Poland,80.61,EUR,1.09,87.8649,69.99,1.255392199,1675,0.05245665672,17.8749,25.54%,2025-12-28 19:17:56,December 2025
2024,Xbox Game Pass,Poland,36.99,PLN,0.25,9.2475,9.99,0.9256756757,1675,0.005520895522,-0.7425,-7.43%,2025-12-28 19:17:56,December 2025
2024,NordVPN,Poland,328.45,PLN,0.25,82.1125,96.07,0.8547153118,1675,0.04902238806,-13.9575,-14.53%,2025-12-28 19:17:56,December 2025
2024,ExpressVPN,Poland,120.2,USD,1,120.2,106.4,1.129699248,1675,0.07176119403,13.8,12.97%,2025-12-28 19:17:56,December 2025
2024,Netflix,Turkey,289.99,TRY,0.032,9.27968,17.99,0.5158243469,761.25,0.01219005583,-8.71032,-48.42%,2025-12-28 19:17:56,December 2025
2024,Youtube Premium,Turkey,75.99,TRY,0.032,2.43168,13.99,0.1738155826,761.25,0.003194325123,-11.55832,-82.62%,2025-12-28 19:17:56,December 2025
2024,Disney+,Turkey,449.9,TRY,0.032,14.3968,12.99,1.108298691,761.25,0.01891205255,1.4068,10.83%,2025-12-28 19:17:56,December 2025
2024,Amazon Prime,Turkey,69.9,TRY,0.032,2.2368,14.99,0.1492194797,761.25,0.002938325123,-12.7532,-85.08%,2025-12-28 19:17:56,December 2025
2024,Spotify,Turkey,99,TRY,0.032,3.168,11.99,0.2642201835,761.25,0.004161576355,-8.822,-73.58%,2025-12-28 19:17:56,December 2025
2024,Apple Music,Turkey,59.99,TRY,0.032,1.91968,10.99,0.1746751592,761.25,0.002521747126,-9.07032,-82.53%,2025-12-28 19:17:56,December 2025
2024,Microsoft 365,Turkey,3299.99,TRY,0.032,105.59968,99.99,1.05610241,761.25,0.1387187915,5.60968,5.61%,2025-12-28 19:17:56,December 2025
2024,Adobe Creative Cloud,Turkey,1627.2,TRY,0.032,52.0704,69.99,0.7439691384,761.25,0.06840118227,-17.9196,-25.60%,2025-12-28 19:17:56,December 2025
2024,Xbox Game Pass,Turkey,269,TRY,0.032,8.608,9.99,0.8616616617,761.25,0.01130771757,-1.382,-13.83%,2025-12-28 19:17:56,December 2025
2024,NordVPN,Turkey,96.88,USD,1,96.88,96.07,1.008431352,761.25,0.1272643678,0.81,0.84%,2025-12-28 19:17:56,December 2025
2024,ExpressVPN,Turkey,117.26,USD,1,117.26,106.4,1.102067669,761.25,0.1540361248,10.86,10.21%,2025-12-28 19:17:56,December 2025
2024,Netflix,Argentina,14999,ARS,0.0012,17.9988,17.99,1.000489161,548.18,0.03283374074,0.0088,0.05%,2025-12-28 19:17:56,December 2025
2024,Youtube Premium,Argentina,8600,ARS,0.0012,10.32,13.99,0.7376697641,548.18,0.01882593309,-3.67,-26.23%,2025-12-28 19:17:56,December 2025
2024,Disney+,Argentina,12299,ARS,0.0012,14.7588,12.99,1.136166282,548.18,0.02692327338,1.7688,13.62%,2025-12-28 19:17:56,December 2025
