Company Distribution,,,,Document Type Distribution,
Company,Total Clauses,,,Type,Total Clauses
Microsoft,6516,,,10-K/Annual Report,10173
Youtube Premium,4164,,,Terms of Service,6103
Spotify,3551,,,Shareholder Letter,1866
Adobe,3159,,,Earnings Call,6794
Netflix,2872,,,Other,634
Disney+,2171,,,,
Amazon Prime,1639,,,SUM,25570
Apple Music,1328,,,,
ExpressVPN,60,,,,
NordVPN,110,,,,
