Service,Price Discrimination Score,Enforcement Intensity
Microsoft,0.2079091675,0.87%
Youtube Premium,0.463706004,3.07%
Spotify,0.4859994896,0.03%
Adobe,0.2449621699,0.13%
Netflix,0.3523291221,0.17%
Disney+,0.3244950515,0.18%
Amazon Prime,0.3044275922,0.24%
Apple Music,0.4456505615,0.75%
ExpressVPN,0.1122497903,8.33%
NordVPN,0.2305484858,5.45%
