Year,Service,Category,Count,Percentage
2017,Spotify,Regulatory Compliance,0,0.00%
2017,Spotify,Legal Threat,0,0.00%
2017,Spotify,Account Action,0,0.00%
2017,Spotify,Privacy/Security,0,0.00%
2017,Spotify,Security Risk,0,0.00%
2017,Spotify,Legitimate Portability,0,0.00%
2017,Spotify,User Workaround,0,0.00%
2017,Spotify,General Terms,0,0.00%
2017,Adobe,Technical Blocking,0,0.00%
2017,Adobe,Price Discrimination,0,0.00%
2017,Adobe,Content Licensing,0,0.00%
2017,Adobe,Regulatory Compliance,0,0.00%
2017,Adobe,Legal Threat,0,0.00%
2017,Adobe,Account Action,0,0.00%
2017,Adobe,Privacy/Security,0,0.00%
2017,Adobe,Security Risk,0,0.00%
2017,Adobe,Legitimate Portability,0,0.00%
2017,Adobe,User Workaround,0,0.00%
2017,Adobe,General Terms,0,0.00%
2017,Netflix,Technical Blocking,0,0.00%
2017,Netflix,Price Discrimination,0,0.00%
2017,Netflix,Content Licensing,0,0.00%
2017,Netflix,Regulatory Compliance,0,0.00%
2017,Netflix,Legal Threat,0,0.00%
2017,Netflix,Account Action,0,0.00%
2017,Netflix,Privacy/Security,0,0.00%
2017,Netflix,Security Risk,0,0.00%
2017,Netflix,Legitimate Portability,0,0.00%
2017,Netflix,User Workaround,0,0.00%
2017,Netflix,General Terms,0,0.00%
2017,Disney+,Technical Blocking,0,0.00%
2017,Disney+,Price Discrimination,0,0.00%
2017,Disney+,Content Licensing,0,0.00%
2017,Disney+,Regulatory Compliance,0,0.00%
2017,Disney+,Legal Threat,0,0.00%
2017,Disney+,Account Action,0,0.00%
2017,Disney+,Privacy/Security,0,0.00%
2017,Disney+,Security Risk,0,0.00%
2017,Disney+,Legitimate Portability,0,0.00%
2017,Disney+,User Workaround,0,0.00%
2017,Disney+,General Terms,0,0.00%
2017,Amazon Prime,Technical Blocking,0,0.00%
2017,Amazon Prime,Price Discrimination,0,0.00%
2017,Amazon Prime,Content Licensing,0,0.00%
2017,Amazon Prime,Regulatory Compliance,0,0.00%
2017,Amazon Prime,Legal Threat,0,0.00%
2017,Amazon Prime,Account Action,0,0.00%
2017,Amazon Prime,Privacy/Security,0,0.00%
2017,Amazon Prime,Security Risk,0,0.00%
2017,Amazon Prime,Legitimate Portability,0,0.00%
2017,Amazon Prime,User Workaround,0,0.00%
2017,Amazon Prime,General Terms,0,0.00%
2017,Apple Music,Technical Blocking,0,0.00%
2017,Apple Music,Price Discrimination,0,0.00%
2017,Apple Music,Content Licensing,0,0.00%
2017,Apple Music,Regulatory Compliance,0,0.00%
2017,Apple Music,Legal Threat,0,0.00%
2017,Apple Music,Account Action,0,0.00%
2017,Apple Music,Privacy/Security,0,0.00%
2017,Apple Music,Security Risk,0,0.00%
2017,Apple Music,Legitimate Portability,0,0.00%
2017,Apple Music,User Workaround,0,0.00%
2017,Apple Music,General Terms,0,0.00%
2017,ExpressVPN,Technical Blocking,0,0.00%
2017,ExpressVPN,Price Discrimination,0,0.00%
2017,ExpressVPN,Content Licensing,0,0.00%
2017,ExpressVPN,Regulatory Compliance,0,0.00%
2017,ExpressVPN,Legal Threat,0,0.00%
2017,ExpressVPN,Account Action,0,0.00%
2017,ExpressVPN,Privacy/Security,0,0.00%
2017,ExpressVPN,Security Risk,0,0.00%
2017,ExpressVPN,Legitimate Portability,0,0.00%
