Company,Fortress_Score
ExpressVPN,55.55555556
NordVPN,50
Youtube Premium,34.34343434
Microsoft,32.75862069
Apple Music,12.5
Adobe,5.714285714
Amazon Prime,2.941176471
Disney+,2.040816327
Netflix,2.032520325
Spotify,0.4329004329
