Year,Adobe,Amazon Prime,Apple Music,Disney+,ExpressVPN,Microsoft,Netflix,NordVPN,Spotify,Youtube Premium
2016,0,0,0,0,0,0,0,0,0,8
2018,0,0,0,0,0,0,0,0,0,7
2019,0,0,1,0,0,8,0,0,1,0
2020,2,1,0,0,0,9,1,0,0,1
2021,0,0,0,0,0,7,1,0,0,0
2022,0,0,1,0,0,9,0,0,0,16
2023,0,0,4,0,0,12,0,0,0,53
2024,1,0,1,4,0,6,0,3,0,31
2025,1,2,3,0,5,6,3,0,0,20
