,,
Price Discrimination Score,Enforcement Intensity,Service
0.1122497903,8.33,ExpressVPN
0.2079091675,0.87,Microsoft
0.2305484858,5.45,NordVPN
0.2449621699,0.13,Adobe
0.3044275922,0.24,Amazon Prime
0.3244950515,0.18,Disney+
0.3523291221,0.17,Netflix
0.4456505615,0.75,Apple Music
0.463706004,3.07,Youtube Premium
0.4859994896,0.03,Spotify
